"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-11-26","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689341,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-11-27","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689442,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-11-28","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689442,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-11-29","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689479,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-11-30","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689536,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-01","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689665,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-02","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689801,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-03","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",689945,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-04","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690074,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-05","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690109,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-06","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690124,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-07","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690229,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-08","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690409,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-09","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690577,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-10","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690677,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-11","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690677,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-12","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690747,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-13","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",690754,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-14","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691015,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-15","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691015,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-16","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691449,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-17","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691652,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-18","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691810,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-19","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691863,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2022-12-20","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",691883,"Cumulative Count of COVID-19 Deaths"
