"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-27","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",8433568,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-28","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",8465403,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-01","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",8841027,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-02","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",9277322,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-03","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",9739676,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-04","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",10169160,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-05","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",10576542,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-06","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",10830688,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-07","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",10948409,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-08","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",11357494,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-09","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",11756131,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-10","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",12181103,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-11","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",12613179,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-12","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",13017720,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-13","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",13223729,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-03-14","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",13286664,"Total COVID-19 Vaccines Administered"
